"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","2.33333333333333","",
"Africa Eastern and Southern","AFE","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2300057282616","36.0787524728735","35.9274992174853","35.7762459620971","35.624992706709","35.4737394513208","35.3224861959326","35.1712329405445","35.0199796851563","34.8687264297681","34.71747317438","34.5374625084351","34.3574518424902","34.1774411765453","33.6542735773628","33.4759771460329","33.2978017194404","33.1195040374608","32.9413958772235","32.7631306258922","32.5834154809305","32.3709209537684","31.8905833662758","31.6805646236178","31.470563981496","31.260350340854","31.039612540938","30.8242476990822","30.6114437120921","30.391558389313","30.174185634139","",
"Afghanistan","AFG","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","1.85278199408184","",
"Africa Western and Central","AFW","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7769081273257","22.6587456692513","22.5405832111769","22.4224207531025","22.3042582950282","22.1860958369538","22.0679333788794","21.9497709208051","21.8316084627307","21.7134460046563","21.5952835465819","21.5031563447265","21.411029142871","21.3189019410156","21.2267747391601","21.1346475373047","21.0425203354492","20.9503931335938","20.8582659317383","20.7661387298829","20.6740115280274","20.586055376098","20.4980992241686","20.4101430722392","20.3221869203098","20.2342307683804","20.1526101563381","20.0713271823989","19.9860995956125","19.9012147100637","19.8167774053141","",
"Angola","AGO","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5780701050774","63.4534073955242","63.328744685971","63.2040819764177","63.0794192668645","62.9547565573113","62.8300938477581","62.7054311382049","62.5807684286516","62.4561057190984","62.3314430095452","61.8862188176787","61.4409946258121","60.9957704339456","60.5505462420791","60.1053220502126","59.660097858346","59.2148736664795","58.769649474613","58.3244252827465","57.8792010908799","57.4339760968958","56.9887511029117","56.5435261089276","56.0983011149435","55.6530761209593","55.2078447100345","54.7626293414615","54.3174059517125","53.8721745407877","53.4269511510388","",
"Albania","ALB","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7883211678832","28.7171532846715","28.6459854014599","28.5748175182482","28.5036496350365","28.4324817518248","28.3613138686131","28.2901459854015","28.2189781021898","28.1478102189781","28.0766423357664","28.1232481751825","28.1698540145985","28.2164598540146","28.2630656934307","28.3096715328467","28.3562773722628","28.4028832116788","28.4494890510949","28.4960948905109","28.542700729927","28.5946532846715","28.6466058394161","28.6985583941606","28.7505109489051","28.8024635036496","28.8021897810219","28.7920620437956","28.7919708029197","28.7919708029197","28.7919708029197","",
"Andorra","AND","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","34.0425531914894","",
"Arab World","ARB","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.73176718416628","3.71369817574387","3.69562373713682","3.67755475526416","3.6594857733915","3.6414167988656","3.62334781699294","3.60527883512027","3.58720985324761","3.56914087137495","3.55107188950229","3.5366592241477","3.52224655879312","3.5078802822753","3.49346999292717","3.47905457036976","3.46462644193495","3.45020857989568","3.43579328443832","3.42201155999365","3.40759814423334","3.38977640102439","2.95640543718181","2.93793699681367","2.91945174695356","2.90093803852791","2.88332326122098","2.86394290918001","2.84442003491462","2.82662014036513","2.80889526080167","",
"United Arab Emirates","ARE","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44973246972684","3.54045339341031","3.63117431709378","3.72189524077725","3.81261616446072","3.90333708814418","3.99405801182765","4.08477893551112","4.17549985919459","4.26622078287806","4.35694170656153","4.36802309208674","4.37910447761194","4.39018586313714","4.40126724866235","4.41234863418755","4.42343001971276","4.43451140523796","4.44559279076317","4.45667417628837","4.46775556181357","4.46775556181357","4.46775556181357","4.46775556181357","4.46775556181357","4.46775556181357","4.46775556181357","4.46775556181357","4.46775556181357","4.46775556181357","4.46775556181357","",
"Argentina","ARG","Forest area (% of land area)","AG.LND.FRST.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8637149256949","12.79699198667","12.7302690476451","12.6635461086203","12.5968231695954","12.5301002305705","12.4633772915456","12.3966543525207","12.3299314134959","12.263208474471","12.1964855354461","12.0808714176615","11.9652572998769","11.8496431820922","11.7340290643076","11.618414946523","11.5028008287384","11.3871867109537","11.2715725931691","11.1559584753845","11.0403443575999","10.9587128976976","10.8770814377953","10.795449977893","10.7138185179907","10.6321870580884","10.6003968297469","10.5598368832422","10.5203731515078","10.4801786099266","10.4407148781923","",
